N,T,Time_Opt,GFLOPS_Opt,Time_Base,Speedup
512,1,.053992,4.972398,.213000,3.9450
512,2,.044163,6.204757,.247000,5.5929
512,4,.027868,9.894198,.308000,11.0521
512,8,.038313,7.109052,.361000,9.4223
512,16,.034818,7.747212,.622000,17.8643
1024,1,.432035,4.977808,.307000,.7105
1024,2,.236927,9.066612,.400000,1.6882
1024,4,.133047,16.145966,.492000,3.6979
1024,8,.187551,11.578086,.712000,3.7963
1024,16,.165879,13.091599,1.292000,7.7888
1536,1,1.404850,5.160312,.638000,.4541
1536,2,.743760,9.759256,.615000,.8268
1536,4,.402074,18.116790,.803000,1.9971
1536,8,.446947,16.263114,1.165000,2.6065
1536,16,.462665,15.729065,2.279000,4.9258
2048,1,3.356462,5.119106,1.119000,.3333
2048,2,1.749264,9.826992,.880000,.5030
2048,4,.919907,18.720234,1.115000,1.2120
2048,8,1.028010,16.747173,1.713000,1.6663
2048,16,1.070871,16.114294,2.868000,2.6781
